deception,story_length,question_order,sample_id,story,question,choices,answer,question_old,answer_old
False,2,0,79,"Mila, Olivia, Oliver, Benjamin and Evelyn entered the den. The pineapple is in the green_box. Mila made no movements and stayed in the den for 1 minute. Mila exited the den. Mila likes the blue_suitcase. Olivia moved the pineapple to the blue_container. Oliver lost his phone. Olivia exited the den. Oliver made no movements and stayed in the den for 1 minute. Oliver exited the den. Benjamin moved the pineapple to the red_envelope. Benjamin exited the den. Evelyn made no movements and stayed in the den for 1 minute. Evelyn exited the den. Mila, Olivia, Oliver, Benjamin and Evelyn entered the waiting_room. Mila, Evelyn and Benjamin entered the bedroom. The corn is in the blue_box. Mila made no movements and stayed in the bedroom for 1 minute. Mila exited the bedroom. Evelyn moved the corn to the red_suitcase. Evelyn exited the bedroom. Benjamin moved the corn to the red_drawer. Benjamin exited the bedroom. Mila, Evelyn and Benjamin entered the waiting_room.",Where is the pineapple really?,"A. red_crate, B. blue_box, C. green_pantry, D. red_drawer, E. red_suitcase, F. green_bottle, G. blue_basket, H. blue_suitcase, I. blue_bathtub, J. green_basket, K. red_bucket, L. green_box, M. green_drawer, N. red_envelope, O. blue_container",red_envelope,Where is the pineapple really?,red_envelope
False,3,0,1,"Noah, Avery, Isla, Elizabeth and William entered the dining_room. The grapefruit is in the green_basket. Noah made no movements and stayed in the dining_room for 1 minute. Noah exited the dining_room. Avery moved the grapefruit to the red_bottle. Noah likes the green_basket. Avery exited the dining_room. Isla moved the grapefruit to the red_treasure_chest. Isla exited the dining_room. Elizabeth made no movements and stayed in the dining_room for 1 minute. Elizabeth exited the dining_room. William moved the grapefruit to the green_basket. William exited the dining_room. Noah, Avery, Isla, Elizabeth and William entered the waiting_room. Noah, Avery and Elizabeth entered the back_yard. The grapes is in the red_container. Avery likes the green_box. Noah made no movements and stayed in the back_yard for 1 minute. Noah exited the back_yard. Avery moved the grapes to the green_pantry. Avery exited the back_yard. Elizabeth moved the grapes to the red_drawer. Elizabeth exited the back_yard. Noah, Avery and Elizabeth entered the waiting_room. Noah likes the blue_container. Avery, Noah, Isla and Elizabeth entered the workshop. The lettuce is in the blue_container. Avery made no movements and stayed in the workshop for 1 minute. Avery exited the workshop. Noah moved the lettuce to the red_bucket. Avery lost his watch. Noah exited the workshop. Isla made no movements and stayed in the workshop for 1 minute. Isla exited the workshop. William lost his phone. Elizabeth made no movements and stayed in the workshop for 1 minute. Elizabeth exited the workshop. Noah saw a mouse. Avery, Noah, Isla and Elizabeth entered the waiting_room.",Where is the grapefruit really?,"A. green_cupboard, B. blue_container, C. blue_treasure_chest, D. red_bucket, E. red_suitcase, F. green_pantry, G. red_container, H. green_box, I. red_drawer, J. blue_bathtub, K. red_bottle, L. green_basket, M. red_treasure_chest, N. red_crate, O. blue_basket",green_basket,Where is the grapefruit really?,green_basket
True,2,0,95,"Lily, James, Ethan, Chloe and Aria entered the laundry. The tangerine is in the blue_container. Lily made no movements and stayed in the laundry for 1 minute. Lily exited the laundry. James made no movements and stayed in the laundry for 1 minute. James exited the laundry. Ethan made no movements and stayed in the laundry for 1 minute. Ethan exited the laundry. Chloe moved the tangerine to the green_treasure_chest. Chloe exited the laundry. Aria made no movements and stayed in the laundry for 1 minute. Aria exited the laundry. Lily, James, Ethan, Chloe and Aria entered the waiting_room. Aria, James and Lily entered the laundry. The tangerine is in the green_treasure_chest. Chloe dislikes the cucumber. Aria made no movements and stayed in the laundry for 1 minute. Aria exited the laundry. James made no movements and stayed in the laundry for 1 minute. James exited the laundry. Lily moved the tangerine to the blue_crate. Lily exited the laundry. Aria, James and Lily entered the waiting_room. Lily publicly claimed that tangerine is in the green_crate now. Aria privately told Lily that the tangerine is in the blue_crate now.",Where is the tangerine really?,"A. blue_bathtub, B. green_basket, C. blue_box, D. green_suitcase, E. red_box, F. blue_basket, G. red_suitcase, H. green_cupboard, I. blue_treasure_chest, J. red_envelope, K. blue_crate, L. blue_container, M. green_treasure_chest, N. green_bottle, O. green_crate",blue_crate,Where is the tangerine really?,blue_crate
True,2,0,61,"Jack, Jayden, Ava, Aria and Mila entered the attic. The pineapple is in the green_bottle. Jayden saw a mouse. Jack made no movements and stayed in the attic for 1 minute. Jack exited the attic. Jayden made no movements and stayed in the attic for 1 minute. Jayden exited the attic. Ava made no movements and stayed in the attic for 1 minute. Ava exited the attic. Aria made no movements and stayed in the attic for 1 minute. Aria exited the attic. Mila made no movements and stayed in the attic for 1 minute. Mila exited the attic. Jack, Jayden, Ava, Aria and Mila entered the waiting_room. Jack, Jayden and Ava entered the kitchen. The peach is in the red_pantry. Jack made no movements and stayed in the kitchen for 1 minute. Jack exited the kitchen. Jayden moved the peach to the red_treasure_chest. Jayden exited the kitchen. Ava moved the peach to the red_container. Ava exited the kitchen. Ava dislikes the peach. Jack, Jayden and Ava entered the waiting_room. Jayden privately told Ava that the peach is in the green_basket now. Ava privately told Mila that the peach is in the red_container now.",Where is the pineapple really?,"A. green_treasure_chest, B. blue_crate, C. red_bucket, D. green_pantry, E. blue_drawer, F. green_basket, G. red_pantry, H. red_envelope, I. red_container, J. red_treasure_chest, K. green_bottle, L. blue_box, M. red_suitcase, N. green_crate, O. blue_suitcase",green_bottle,Where is the pineapple really?,green_bottle
False,1,0,23,"Jayden, Charlotte, Ethan, Evelyn and Isabella entered the crawlspace. Charlotte likes the green_suitcase. The spinach is in the red_envelope. Jayden made no movements and stayed in the crawlspace for 1 minute. Jayden exited the crawlspace. Charlotte made no movements and stayed in the crawlspace for 1 minute. Charlotte exited the crawlspace. Ethan moved the spinach to the red_crate. Ethan exited the crawlspace. Ethan saw a dog. Evelyn moved the spinach to the green_suitcase. Evelyn exited the crawlspace. Isabella moved the spinach to the red_envelope. Isabella exited the crawlspace. Jayden, Charlotte, Ethan, Evelyn and Isabella entered the waiting_room.",Where is the spinach really?,"A. green_crate, B. green_pantry, C. green_drawer, D. green_treasure_chest, E. blue_basket, F. red_pantry, G. red_envelope, H. green_suitcase, I. red_crate, J. red_container, K. blue_container, L. red_drawer, M. green_cupboard, N. green_bottle, O. green_basket",red_envelope,Where is the spinach really?,red_envelope
False,3,0,6,"Ava, Mason, Benjamin, Hannah and Isabella entered the garage. The grapefruit is in the green_bottle. Ava moved the grapefruit to the red_crate. Ava exited the garage. Mason moved the grapefruit to the blue_basket. Mason exited the garage. Benjamin made no movements and stayed in the garage for 1 minute. Benjamin exited the garage. Isabella lost his watch. Hannah made no movements and stayed in the garage for 1 minute. Hannah exited the garage. Ava dislikes the sweet_potato. Isabella made no movements and stayed in the garage for 1 minute. Mason lost his phone. Isabella exited the garage. Ava, Mason, Benjamin, Hannah and Isabella entered the waiting_room. Benjamin, Hannah and Ava entered the back_yard. The onion is in the green_cupboard. Benjamin made no movements and stayed in the back_yard for 1 minute. Benjamin exited the back_yard. Hannah moved the onion to the green_pantry. Hannah exited the back_yard. Ava likes the blue_basket. Ava made no movements and stayed in the back_yard for 1 minute. Ava exited the back_yard. Isabella lost his watch. Benjamin, Hannah and Ava entered the waiting_room. Isabella, Hannah, Ava and Benjamin entered the garage. The sweet_potato is in the red_crate. Hannah saw a cat. Isabella made no movements and stayed in the garage for 1 minute. Isabella exited the garage. Hannah made no movements and stayed in the garage for 1 minute. Hannah exited the garage. Ava moved the sweet_potato to the green_bottle. Ava exited the garage. Benjamin made no movements and stayed in the garage for 1 minute. Benjamin exited the garage. Isabella, Hannah, Ava and Benjamin entered the waiting_room.",Where is the grapefruit really?,"A. green_pantry, B. green_cupboard, C. green_crate, D. red_bucket, E. red_bottle, F. green_bottle, G. red_crate, H. blue_drawer, I. blue_crate, J. blue_basket, K. blue_bathtub, L. blue_suitcase, M. blue_box, N. red_treasure_chest, O. blue_pantry",blue_basket,Where is the grapefruit really?,blue_basket
True,2,0,66,"Charlotte, Elizabeth, Emily, Nathan and Alexander entered the attic. The peach is in the red_container. Charlotte moved the peach to the blue_suitcase. Charlotte exited the attic. Elizabeth made no movements and stayed in the attic for 1 minute. Elizabeth saw a cat. Elizabeth exited the attic. Emily moved the peach to the blue_treasure_chest. Emily exited the attic. Nathan made no movements and stayed in the attic for 1 minute. Nathan exited the attic. Emily lost his gloves. Alexander made no movements and stayed in the attic for 1 minute. Alexander exited the attic. Charlotte, Elizabeth, Emily, Nathan and Alexander entered the waiting_room. Charlotte, Elizabeth and Alexander entered the crawlspace. The cabbage is in the red_suitcase. Charlotte made no movements and stayed in the crawlspace for 1 minute. Charlotte exited the crawlspace. Elizabeth made no movements and stayed in the crawlspace for 1 minute. Elizabeth exited the crawlspace. Alexander moved the cabbage to the blue_basket. Alexander exited the crawlspace. Charlotte, Elizabeth and Alexander entered the waiting_room. Elizabeth privately told Alexander that the cabbage is in the red_suitcase now. Alexander privately told Emily that the cabbage is in the blue_basket now.",Where is the peach really?,"A. green_box, B. blue_drawer, C. blue_crate, D. red_envelope, E. green_treasure_chest, F. blue_suitcase, G. red_container, H. red_bucket, I. blue_bucket, J. blue_treasure_chest, K. red_suitcase, L. blue_bathtub, M. blue_basket, N. red_treasure_chest, O. red_box",blue_treasure_chest,Where is the peach really?,blue_treasure_chest
True,2,0,92,"Hannah, Lily, Nathan, Jayden and Gracie entered the living_room. The pumpkin is in the green_crate. Hannah made no movements and stayed in the living_room for 1 minute. Hannah exited the living_room. Lily moved the pumpkin to the red_box. Lily exited the living_room. Nathan moved the pumpkin to the blue_bucket. Nathan exited the living_room. Jayden moved the pumpkin to the red_suitcase. Jayden exited the living_room. Gracie made no movements and stayed in the living_room for 1 minute. Gracie exited the living_room. Hannah, Lily, Nathan, Jayden and Gracie entered the waiting_room. Jayden, Hannah and Nathan entered the pantry. The onion is in the green_drawer. Jayden moved the onion to the red_drawer. Jayden exited the pantry. Hannah made no movements and stayed in the pantry for 1 minute. Hannah exited the pantry. Nathan moved the onion to the blue_drawer. Nathan exited the pantry. Jayden, Hannah and Nathan entered the waiting_room. Hannah publicly claimed that onion is in the blue_drawer now. Nathan privately told Hannah that the onion is in the green_drawer now.",Where is the pumpkin really?,"A. red_box, B. green_crate, C. red_suitcase, D. blue_bucket, E. red_envelope, F. green_drawer, G. red_crate, H. green_pantry, I. blue_drawer, J. red_drawer, K. blue_treasure_chest, L. blue_basket, M. green_bathtub, N. red_bucket, O. blue_container",red_suitcase,Where is the pumpkin really?,red_suitcase
False,1,0,15,"Avery, Isabella, Nathan, Mason and Hannah entered the sunroom. The onion is in the green_drawer. Avery moved the onion to the green_bottle. Avery exited the sunroom. Isabella made no movements and stayed in the sunroom for 1 minute. Isabella exited the sunroom. Nathan moved the onion to the green_box. Nathan exited the sunroom. Mason moved the onion to the green_treasure_chest. Mason exited the sunroom. Mason likes the red_container. Hannah made no movements and stayed in the sunroom for 1 minute. Hannah exited the sunroom. Avery, Isabella, Nathan, Mason and Hannah entered the waiting_room.",Where is the onion really?,"A. green_bathtub, B. blue_container, C. blue_crate, D. blue_bucket, E. blue_basket, F. green_drawer, G. green_crate, H. green_bottle, I. green_box, J. green_treasure_chest, K. green_basket, L. blue_treasure_chest, M. red_container, N. red_bucket, O. blue_drawer",green_treasure_chest,Where is the onion really?,green_treasure_chest
False,1,0,24,"Evelyn, Emma, Benjamin, Jayden and Chloe entered the hall. The spinach is in the green_cupboard. Evelyn made no movements and stayed in the hall for 1 minute. Evelyn exited the hall. Emma moved the spinach to the red_bucket. Emma exited the hall. Chloe likes the red_drawer. Benjamin made no movements and stayed in the hall for 1 minute. Benjamin exited the hall. Jayden moved the spinach to the red_treasure_chest. Jayden exited the hall. Chloe made no movements and stayed in the hall for 1 minute. Chloe exited the hall. Evelyn, Emma, Benjamin, Jayden and Chloe entered the waiting_room.",Where is the spinach really?,"A. green_treasure_chest, B. blue_container, C. green_pantry, D. red_drawer, E. blue_bucket, F. green_bottle, G. blue_pantry, H. green_drawer, I. blue_bathtub, J. red_container, K. blue_crate, L. green_cupboard, M. red_treasure_chest, N. red_crate, O. red_bucket",red_treasure_chest,Where is the spinach really?,red_treasure_chest
